frame,lm_0_x,lm_0_y,lm_0_z,lm_0_vis,lm_1_x,lm_1_y,lm_1_z,lm_1_vis,lm_2_x,lm_2_y,lm_2_z,lm_2_vis,lm_3_x,lm_3_y,lm_3_z,lm_3_vis,lm_4_x,lm_4_y,lm_4_z,lm_4_vis,lm_5_x,lm_5_y,lm_5_z,lm_5_vis,lm_6_x,lm_6_y,lm_6_z,lm_6_vis,lm_7_x,lm_7_y,lm_7_z,lm_7_vis,lm_8_x,lm_8_y,lm_8_z,lm_8_vis,lm_9_x,lm_9_y,lm_9_z,lm_9_vis,lm_10_x,lm_10_y,lm_10_z,lm_10_vis,lm_11_x,lm_11_y,lm_11_z,lm_11_vis,lm_12_x,lm_12_y,lm_12_z,lm_12_vis,lm_13_x,lm_13_y,lm_13_z,lm_13_vis,lm_14_x,lm_14_y,lm_14_z,lm_14_vis,lm_15_x,lm_15_y,lm_15_z,lm_15_vis,lm_16_x,lm_16_y,lm_16_z,lm_16_vis,lm_17_x,lm_17_y,lm_17_z,lm_17_vis,lm_18_x,lm_18_y,lm_18_z,lm_18_vis,lm_19_x,lm_19_y,lm_19_z,lm_19_vis,lm_20_x,lm_20_y,lm_20_z,lm_20_vis,lm_21_x,lm_21_y,lm_21_z,lm_21_vis,lm_22_x,lm_22_y,lm_22_z,lm_22_vis,lm_23_x,lm_23_y,lm_23_z,lm_23_vis,lm_24_x,lm_24_y,lm_24_z,lm_24_vis,lm_25_x,lm_25_y,lm_25_z,lm_25_vis,lm_26_x,lm_26_y,lm_26_z,lm_26_vis,lm_27_x,lm_27_y,lm_27_z,lm_27_vis,lm_28_x,lm_28_y,lm_28_z,lm_28_vis,lm_29_x,lm_29_y,lm_29_z,lm_29_vis,lm_30_x,lm_30_y,lm_30_z,lm_30_vis,lm_31_x,lm_31_y,lm_31_z,lm_31_vis,lm_32_x,lm_32_y,lm_32_z,lm_32_vis
0,0.541901171207428,0.2736404240131378,-0.21935418248176575,0.999940037727356,0.5426679253578186,0.25911733508110046,-0.20618315041065216,0.9999043941497803,0.5432296395301819,0.25922250747680664,-0.20619726181030273,0.9998807907104492,0.5437875986099243,0.25939130783081055,-0.20620548725128174,0.9998577833175659,0.5385783314704895,0.25665464997291565,-0.22408506274223328,0.9999423027038574,0.5357716083526611,0.2548980116844177,-0.22412264347076416,0.999934196472168,0.5329639911651611,0.2530921697616577,-0.22414979338645935,0.9999371767044067,0.5376505255699158,0.25966835021972656,-0.11218252032995224,0.9996980428695679,0.5189761519432068,0.2522027790546417,-0.19705115258693695,0.9999431371688843,0.5401356220245361,0.2886386215686798,-0.18205222487449646,0.9998959302902222,0.534639298915863,0.2849128246307373,-0.20663633942604065,0.9999701976776123,0.5410598516464233,0.3379272222518921,-0.031144458800554276,0.9993060827255249,0.47693243622779846,0.3263325095176697,-0.1635211706161499,0.9999514818191528,0.5490996837615967,0.4370929002761841,-0.10920433700084686,0.8999680876731873,0.44326502084732056,0.4352450370788574,-0.2592346668243408,0.9950835704803467,0.5697885751724243,0.34709957242012024,-0.2948175370693207,0.966174840927124,0.45204323530197144,0.3341321349143982,-0.3944341242313385,0.9962309002876282,0.5671139359474182,0.3268132507801056,-0.32777607440948486,0.9294832944869995,0.4499191343784332,0.3133511543273926,-0.4250780940055847,0.991902768611908,0.5660756826400757,0.31999409198760986,-0.3204900622367859,0.9256176352500916,0.45044249296188354,0.3078959286212921,-0.42400509119033813,0.9914352297782898,0.5653040409088135,0.32671213150024414,-0.29766184091567993,0.9061948657035828,0.4520694315433502,0.3137888014316559,-0.3961502015590668,0.9857257604598999,0.5205243229866028,0.5561600923538208,0.05107654258608818,0.99652498960495,0.4826177954673767,0.5545957088470459,-0.051133058965206146,0.9992432594299316,0.5352569222450256,0.701184093952179,0.140239879488945,0.9634498953819275,0.477155864238739,0.722498893737793,-0.07088423520326614,0.9951530694961548,0.5291265249252319,0.8403183221817017,0.2651015520095825,0.9732629656791687,0.4713385999202728,0.879033088684082,-0.025244683027267456,0.9924308657646179,0.5206552743911743,0.8595134019851685,0.2730979025363922,0.9364363551139832,0.4694836735725403,0.9032875299453735,-0.026525205001235008,0.921421468257904,0.5672107338905334,0.8721510171890259,0.21190616488456726,0.9772394895553589,0.48102855682373047,0.9286967515945435,-0.13105973601341248,0.9860871434211731
1,0.5422509908676147,0.27135634422302246,-0.22107002139091492,0.9999828338623047,0.5429323315620422,0.2580782175064087,-0.2061438262462616,0.9999717473983765,0.5435437560081482,0.25832828879356384,-0.2061372995376587,0.9999599456787109,0.5441863536834717,0.25852566957473755,-0.20613332092761993,0.9999505281448364,0.5389546751976013,0.2544316053390503,-0.22334294021129608,0.9999850988388062,0.5361146926879883,0.2518306076526642,-0.22337393462657928,0.9999829530715942,0.5332720875740051,0.2493157982826233,-0.22338838875293732,0.9999841451644897,0.5381174683570862,0.259992778301239,-0.10641388595104218,0.9998916387557983,0.5188043117523193,0.25023889541625977,-0.1886603981256485,0.9999849796295166,0.5406544208526611,0.2859060764312744,-0.18200281262397766,0.9999560117721558,0.5348033308982849,0.28217440843582153,-0.20584455132484436,0.9999891519546509,0.5374469757080078,0.3413826525211334,-0.0173085518181324,0.9994794726371765,0.478316068649292,0.32975590229034424,-0.16339123249053955,0.999969482421875,0.5484641790390015,0.43912819027900696,-0.07165548205375671,0.907372772693634,0.4441574215888977,0.43687060475349426,-0.27019038796424866,0.9956972599029541,0.5695273876190186,0.34384268522262573,-0.2249784916639328,0.9762236475944519,0.4525664448738098,0.338220477104187,-0.4071870744228363,0.9971358776092529,0.5667814016342163,0.3228491544723511,-0.2511812746524811,0.9466855525970459,0.4501726031303406,0.3163326382637024,-0.4373789429664612,0.9935635328292847,0.5657669901847839,0.3164433240890503,-0.2426273077726364,0.9422903656959534,0.4506683349609375,0.31056511402130127,-0.43499866127967834,0.993125319480896,0.5644955039024353,0.3243127465248108,-0.22617773711681366,0.9253422617912292,0.4524509310722351,0.31668418645858765,-0.40822356939315796,0.9883930087089539,0.5193403363227844,0.5604553818702698,0.056729793548583984,0.9978829026222229,0.48240119218826294,0.5596348643302917,-0.05684635788202286,0.9994844198226929,0.5379325151443481,0.6984590291976929,0.1552695780992508,0.9658874869346619,0.4776345193386078,0.7263772487640381,-0.06198393180966377,0.9951298236846924,0.5285329818725586,0.8377771377563477,0.2820461392402649,0.9746909141540527,0.47045522928237915,0.8763402104377747,-0.01144915260374546,0.9926401972770691,0.5199470520019531,0.8575829267501831,0.2907317578792572,0.9453097581863403,0.4685249924659729,0.897966742515564,-0.011537414975464344,0.9257644414901733,0.5671359896659851,0.8719978332519531,0.23622211813926697,0.9791892766952515,0.48174864053726196,0.9290609359741211,-0.11070897430181503,0.986531674861908
2,0.5407477021217346,0.2771843373775482,-0.21764187514781952,0.9999887943267822,0.5422305464744568,0.2623293995857239,-0.20310597121715546,0.9999809265136719,0.5429745316505432,0.26250341534614563,-0.20309896767139435,0.9999719858169556,0.5436137914657593,0.2626238465309143,-0.20309463143348694,0.9999634027481079,0.5373630523681641,0.25934502482414246,-0.22012457251548767,0.9999910593032837,0.5348462462425232,0.25720900297164917,-0.22016820311546326,0.9999902248382568,0.5315591096878052,0.2547433078289032,-0.22018590569496155,0.9999910593032837,0.5377437472343445,0.2650969326496124,-0.10576151311397552,0.9999312162399292,0.5174111127853394,0.25516724586486816,-0.18615363538265228,0.9999920129776001,0.5393846035003662,0.2926935851573944,-0.17943285405635834,0.9999692440032959,0.5331148505210876,0.28854748606681824,-0.20275835692882538,0.9999933242797852,0.5392741560935974,0.342967689037323,-0.01643461361527443,0.9993732571601868,0.4778936505317688,0.3359190821647644,-0.15965665876865387,0.9999762773513794,0.5480382442474365,0.4382458031177521,-0.059755779802799225,0.8658686280250549,0.4437128007411957,0.4401647448539734,-0.2597277760505676,0.9970670342445374,0.5688085556030273,0.35158514976501465,-0.20266535878181458,0.9621065258979797,0.4537326395511627,0.3429965078830719,-0.3941751718521118,0.9982442855834961,0.5664289593696594,0.32802510261535645,-0.22601166367530823,0.9235649108886719,0.4507288336753845,0.32001882791519165,-0.4229962229728699,0.9958119988441467,0.5650602579116821,0.32239460945129395,-0.2185690701007843,0.9176852107048035,0.45166435837745667,0.3133889436721802,-0.4203711450099945,0.9954999089241028,0.5636470317840576,0.3298504948616028,-0.20397138595581055,0.8987908959388733,0.45374417304992676,0.3201945126056671,-0.3947896361351013,0.9922063946723938,0.5211859345436096,0.5621128082275391,0.0550696961581707,0.9977468848228455,0.4836653172969818,0.5618687272071838,-0.05518084764480591,0.9994358420372009,0.5419202446937561,0.7027881741523743,0.12216903269290924,0.9687267541885376,0.47992080450057983,0.7257985472679138,-0.06284962594509125,0.9943839311599731,0.5299772620201111,0.8350154161453247,0.2547667920589447,0.9696577191352844,0.4720725417137146,0.8790097832679749,-0.003045361954718828,0.9926378726959229,0.5196860432624817,0.8535770177841187,0.2640872895717621,0.9368859529495239,0.4671595096588135,0.90451979637146,-0.002246334683150053,0.9287847280502319,0.5675399303436279,0.8718652725219727,0.21110108494758606,0.9762088060379028,0.4822143614292145,0.9305722713470459,-0.09931924939155579,0.9864830374717712
3,0.5415118336677551,0.27923357486724854,-0.22410638630390167,0.9999905824661255,0.5427542328834534,0.2650880217552185,-0.2096497118473053,0.9999845027923584,0.543368935585022,0.26535269618034363,-0.20964249968528748,0.999977707862854,0.5439260005950928,0.26569926738739014,-0.2096497118473053,0.9999721050262451,0.5381388068199158,0.2620280086994171,-0.22711381316184998,0.9999921321868896,0.5355390906333923,0.2600195109844208,-0.22715625166893005,0.9999912977218628,0.5323544144630432,0.25759682059288025,-0.22717466950416565,0.9999916553497314,0.538028359413147,0.26904532313346863,-0.11268557608127594,0.9999518394470215,0.5179858207702637,0.25813260674476624,-0.19522583484649658,0.9999927282333374,0.5400850772857666,0.29462340474128723,-0.18593794107437134,0.99997878074646,0.5340335965156555,0.2909039855003357,-0.20994821190834045,0.9999948740005493,0.5386233925819397,0.35070735216140747,-0.023609841242432594,0.9996291399002075,0.47783929109573364,0.3396965265274048,-0.17052455246448517,0.9999779462814331,0.5479772090911865,0.44485291838645935,-0.06261546909809113,0.9175926446914673,0.4434661865234375,0.4434360861778259,-0.2755003869533539,0.9969428181648254,0.5690343379974365,0.3539655804634094,-0.19382870197296143,0.978785514831543,0.4546409249305725,0.34699493646621704,-0.4099850058555603,0.9981507658958435,0.5667104721069336,0.33272966742515564,-0.21643860638141632,0.9510237574577332,0.4514234960079193,0.32433998584747314,-0.4399030804634094,0.995506763458252,0.5653694868087769,0.32514655590057373,-0.20831313729286194,0.9466052055358887,0.45260176062583923,0.3183995485305786,-0.4371822476387024,0.9951115250587463,0.5638439655303955,0.33293384313583374,-0.1944994330406189,0.9307151436805725,0.4546446204185486,0.32501935958862305,-0.41084375977516174,0.9914860129356384,0.5199108123779297,0.5638297200202942,0.055147428065538406,0.9981608986854553,0.48213785886764526,0.562942624092102,-0.055242717266082764,0.9994981288909912,0.5445798635482788,0.705646812915802,0.12139501422643661,0.9709517955780029,0.47935110330581665,0.7235234379768372,-0.07201476395130157,0.9937247633934021,0.5308914184570312,0.8367412090301514,0.2586731016635895,0.9669222235679626,0.47013750672340393,0.8798878192901611,-0.008223677054047585,0.9912234544754028,0.5202895998954773,0.8545582890510559,0.2684425711631775,0.9312247037887573,0.466144859790802,0.9045369625091553,-0.006892829202115536,0.9181631803512573,0.5678466558456421,0.8738027215003967,0.21498027443885803,0.9726646542549133,0.48217615485191345,0.9302279353141785,-0.10541932284832001,0.9843494296073914
4,0.5420957803726196,0.2863330543041229,-0.2200605422258377,0.9999899864196777,0.5433228611946106,0.2719252109527588,-0.20529119670391083,0.999983549118042,0.5439580678939819,0.2722186744213104,-0.2052830159664154,0.9999756813049316,0.5446063280105591,0.2725580334663391,-0.20529043674468994,0.9999692440032959,0.5387641787528992,0.26842108368873596,-0.22273126244544983,0.999991774559021,0.5360136032104492,0.2661752700805664,-0.22277244925498962,0.9999909400939941,0.5329479575157166,0.2638695240020752,-0.22279950976371765,0.9999915361404419,0.5387861728668213,0.2748139798641205,-0.10824911296367645,0.9999502897262573,0.5188990235328674,0.26404517889022827,-0.19071729481220245,0.9999926090240479,0.5407612919807434,0.3017081916332245,-0.18192650377750397,0.9999754428863525,0.5345261693000793,0.29770296812057495,-0.20593181252479553,0.999994158744812,0.5379066467285156,0.3539201319217682,-0.01642148196697235,0.9995840191841125,0.478318989276886,0.34349802136421204,-0.16698215901851654,0.9999774694442749,0.5462380647659302,0.44861483573913574,-0.029277194291353226,0.882718026638031,0.44426482915878296,0.4492443799972534,-0.27008575201034546,0.9967418313026428,0.5697184801101685,0.3587150573730469,-0.13242904841899872,0.9730269312858582,0.4546336233615875,0.35155388712882996,-0.40477436780929565,0.9982888102531433,0.5675390958786011,0.3362445533275604,-0.14887867867946625,0.9416305422782898,0.451617956161499,0.32964563369750977,-0.4340449273586273,0.9959052801132202,0.5664333701133728,0.3293120861053467,-0.14284484088420868,0.9364783763885498,0.452731192111969,0.3238161504268646,-0.4321008622646332,0.9955841898918152,0.5648143291473389,0.3372880816459656,-0.13309246301651,0.9199598431587219,0.4544042944908142,0.32993707060813904,-0.4059542119503021,0.9923376441001892,0.520342230796814,0.567012369632721,0.05627606436610222,0.9980244636535645,0.4827495515346527,0.5658862590789795,-0.05635284632444382,0.999422550201416,0.5476386547088623,0.7082533836364746,0.11541467905044556,0.97097247838974,0.4794609546661377,0.725764811038971,-0.07562997192144394,0.9932529330253601,0.529325008392334,0.8365872502326965,0.25121209025382996,0.9650682806968689,0.47165411710739136,0.8809647560119629,-0.009983803145587444,0.9911642670631409,0.5192849636077881,0.8551656007766724,0.2606841027736664,0.9294830560684204,0.4673313498497009,0.9057557582855225,-0.008470169268548489,0.9214902520179749,0.5686607360839844,0.8732836246490479,0.20735593140125275,0.9712235331535339,0.48233217000961304,0.933695375919342,-0.10685384273529053,0.9847263693809509
5,0.5404610633850098,0.29298028349876404,-0.20554646849632263,0.9999918937683105,0.5422332882881165,0.2787470519542694,-0.1899978071451187,0.999988317489624,0.5430956482887268,0.27894172072410583,-0.19000613689422607,0.9999827146530151,0.5438346266746521,0.27904585003852844,-0.19002847373485565,0.9999794960021973,0.5374634861946106,0.2759946584701538,-0.2074049711227417,0.999993085861206,0.5348914265632629,0.2740171551704407,-0.2074371874332428,0.9999918937683105,0.5314840078353882,0.27150753140449524,-0.20745515823364258,0.9999918937683105,0.5381170511245728,0.2815987765789032,-0.09163755178451538,0.9999703168869019,0.5178601145744324,0.271334707736969,-0.1730169951915741,0.9999938011169434,0.5392761826515198,0.3089245557785034,-0.16707684099674225,0.9999864101409912,0.5331995487213135,0.30464494228363037,-0.19080191850662231,0.9999960660934448,0.538124144077301,0.36021360754966736,-0.004446865990757942,0.9997496008872986,0.47838157415390015,0.35098934173583984,-0.15015409886837006,0.999970555305481,0.5499834418296814,0.45335036516189575,-0.041724562644958496,0.9272311925888062,0.44473761320114136,0.45615023374557495,-0.24954304099082947,0.9965798258781433,0.5700340867042542,0.3643643260002136,-0.17155292630195618,0.9839820265769958,0.45563364028930664,0.36057984828948975,-0.3808261454105377,0.9984263181686401,0.5673927068710327,0.34211474657058716,-0.1945280283689499,0.9625745415687561,0.4523864686489105,0.3372524380683899,-0.4101073145866394,0.996203601360321,0.5661823749542236,0.3354969024658203,-0.18718980252742767,0.9588233232498169,0.4534997344017029,0.3317941725254059,-0.4088532030582428,0.9958252906799316,0.564657986164093,0.34249675273895264,-0.17246145009994507,0.9453368186950684,0.45540785789489746,0.33826541900634766,-0.3822915256023407,0.9926828742027283,0.519327700138092,0.5694432258605957,0.05696321278810501,0.9984467625617981,0.48277121782302856,0.5693677067756653,-0.057035766541957855,0.9991971850395203,0.5503284335136414,0.7081060409545898,0.07517016679048538,0.9714875817298889,0.4792725145816803,0.7287831902503967,-0.05988304689526558,0.9903924465179443,0.5302992463111877,0.8378188014030457,0.20891591906547546,0.9527419209480286,0.47248727083206177,0.8764936923980713,0.024185769259929657,0.9877417087554932,0.5192444324493408,0.8553340435028076,0.218340665102005,0.9179068803787231,0.468296617269516,0.8982304930686951,0.027543675154447556,0.9028245806694031,0.5672293305397034,0.8743976354598999,0.16472546756267548,0.9632164835929871,0.48269933462142944,0.9307572841644287,-0.06584394723176956,0.9785857200622559
6,0.5425108075141907,0.3012044429779053,-0.19863851368427277,0.9999886751174927,0.5435619354248047,0.2868378162384033,-0.18441373109817505,0.9999839067459106,0.544147789478302,0.2868719696998596,-0.18442924320697784,0.999976396560669,0.5446506142616272,0.2868121862411499,-0.1844717562198639,0.9999722242355347,0.5397027134895325,0.2843310236930847,-0.20306852459907532,0.9999910593032837,0.5375522971153259,0.2823307514190674,-0.20310291647911072,0.99998939037323,0.534671425819397,0.2800598442554474,-0.20312628149986267,0.99998939037323,0.5374857783317566,0.2893846333026886,-0.0916094109416008,0.9999679327011108,0.5200446248054504,0.2796129882335663,-0.1780303567647934,0.9999924898147583,0.5403758883476257,0.31652140617370605,-0.16185122728347778,0.9999841451644897,0.5353591442108154,0.31284278631210327,-0.1870882213115692,0.9999954700469971,0.5371600389480591,0.36876946687698364,-0.007794687058776617,0.999685525894165,0.4783558249473572,0.3577757477760315,-0.1555202454328537,0.9999654293060303,0.5499165058135986,0.4579009711742401,-0.04244740307331085,0.9058305621147156,0.4450320303440094,0.4619772136211395,-0.2548372149467468,0.9959498643875122,0.5692086219787598,0.3710991442203522,-0.1625528484582901,0.9738344550132751,0.45431143045425415,0.3673613965511322,-0.3821925222873688,0.9981671571731567,0.5667300224304199,0.3480597734451294,-0.18405146896839142,0.941959798336029,0.45207324624061584,0.34511953592300415,-0.4111877381801605,0.9957665205001831,0.5653600692749023,0.34258097410202026,-0.17692601680755615,0.9359291195869446,0.4532838761806488,0.34001874923706055,-0.4100072979927063,0.9953004121780396,0.563827633857727,0.3489421010017395,-0.16359953582286835,0.9182724356651306,0.4549211859703064,0.3464503884315491,-0.3837447762489319,0.9915187954902649,0.5169833898544312,0.5733904838562012,0.053627826273441315,0.9986176490783691,0.4803841710090637,0.5722286105155945,-0.053676702082157135,0.999212384223938,0.5518072247505188,0.7122945785522461,0.05041337013244629,0.9783316850662231,0.47764748334884644,0.7282119989395142,-0.06055428832769394,0.9872524738311768,0.5289646983146667,0.8390911817550659,0.18793191015720367,0.9521542191505432,0.4715539813041687,0.8765639662742615,0.026887107640504837,0.9867662191390991,0.5189930200576782,0.8563908338546753,0.19793766736984253,0.9122360348701477,0.4669879376888275,0.898984968662262,0.030508432537317276,0.9005979895591736,0.5659867525100708,0.8756240606307983,0.14284735918045044,0.9618733525276184,0.4814375340938568,0.9309235215187073,-0.06307416409254074,0.9768834710121155
7,0.5420110821723938,0.3086732029914856,-0.2023514211177826,0.9999927282333374,0.5437003374099731,0.29407742619514465,-0.18707863986492157,0.9999905824661255,0.5446480512619019,0.2942686676979065,-0.18710123002529144,0.9999865293502808,0.5454625487327576,0.29444992542266846,-0.1871451437473297,0.9999836683273315,0.5394683480262756,0.29118338227272034,-0.20425066351890564,0.999994158744812,0.5370194911956787,0.28931304812431335,-0.2042800933122635,0.999993085861206,0.5337705612182617,0.2872689366340637,-0.20428523421287537,0.999992847442627,0.5393132567405701,0.29766759276390076,-0.0906999334692955,0.9999822378158569,0.5200489163398743,0.2879852056503296,-0.17022699117660522,0.9999949932098389,0.540411651134491,0.3237576484680176,-0.1646447330713272,0.9999897480010986,0.5347767472267151,0.3200349807739258,-0.18786457180976868,0.9999969005584717,0.5383715629577637,0.3738139271736145,-0.008606033399701118,0.9997246861457825,0.4786582887172699,0.3648343086242676,-0.1416596919298172,0.9999579191207886,0.5494924187660217,0.4648980498313904,-0.05267376825213432,0.9256579875946045,0.44472017884254456,0.46910133957862854,-0.23601222038269043,0.9966502785682678,0.5706989169120789,0.3805835247039795,-0.18601053953170776,0.9783958792686462,0.45445674657821655,0.3768046200275421,-0.3684982359409332,0.9984968900680542,0.5684623122215271,0.3580084443092346,-0.21034257113933563,0.9500296711921692,0.4525314271450043,0.35443103313446045,-0.39734798669815063,0.9963927865028381,0.5667792558670044,0.3525957763195038,-0.2037089616060257,0.9447103142738342,0.4538637101650238,0.34901633858680725,-0.39672625064849854,0.9960248470306396,0.5653988122940063,0.3585631847381592,-0.18759584426879883,0.929709792137146,0.45534786581993103,0.3551715612411499,-0.37036845088005066,0.9929640293121338,0.5161516070365906,0.577152669429779,0.048591069877147675,0.9989080429077148,0.4788424074649811,0.5759156346321106,-0.04861883819103241,0.9991870522499084,0.5539755821228027,0.7116548418998718,0.0234067365527153,0.9872954487800598,0.47758907079696655,0.7305400371551514,-0.050814878195524216,0.9902318120002747,0.5296658873558044,0.8381643295288086,0.16105133295059204,0.9630421996116638,0.4716825485229492,0.8743406534194946,0.04833606630563736,0.9882910847663879,0.5186611413955688,0.85561203956604,0.1709880232810974,0.9305354952812195,0.46858248114585876,0.8918957114219666,0.053194016218185425,0.8998504877090454,0.5658837556838989,0.8767439723014832,0.11253152042627335,0.9683595299720764,0.4805968701839447,0.9331067204475403,-0.04021809995174408,0.9786673188209534
8,0.5437227487564087,0.32042020559310913,-0.21389219164848328,0.999993085861206,0.5448116064071655,0.3049258291721344,-0.19898538291454315,0.9999905824661255,0.5454726219177246,0.3048097789287567,-0.1990203708410263,0.999987006187439,0.5461206436157227,0.30474144220352173,-0.1990789771080017,0.999984622001648,0.5406361818313599,0.30288761854171753,-0.21757011115550995,0.9999940395355225,0.5380824208259583,0.3010307550430298,-0.21760182082653046,0.999992847442627,0.5351439714431763,0.29913127422332764,-0.2176171988248825,0.9999927282333374,0.5391612648963928,0.3068990111351013,-0.10383029282093048,0.9999827146530151,0.5211838483810425,0.2988446056842804,-0.18943838775157928,0.9999957084655762,0.5418566465377808,0.3347780108451843,-0.17636598646640778,0.9999920129776001,0.5365880727767944,0.3315748870372772,-0.2013402283191681,0.9999977350234985,0.5389922261238098,0.38177573680877686,-0.0224197618663311,0.9997802376747131,0.4787493348121643,0.3738153576850891,-0.1624421924352646,0.9999741315841675,0.5490691661834717,0.47268134355545044,-0.08697863668203354,0.9286243319511414,0.4450101852416992,0.4771989583969116,-0.26465561985969543,0.9966951608657837,0.5710687637329102,0.39084452390670776,-0.24752859771251678,0.9759672284126282,0.4551700949668884,0.3858714997768402,-0.4047578275203705,0.9983484745025635,0.5703694224357605,0.36782777309417725,-0.27774766087532043,0.9480140209197998,0.4527442455291748,0.3628707528114319,-0.4379667341709137,0.9962479472160339,0.5689103603363037,0.36146748065948486,-0.2711247205734253,0.9425715804100037,0.4538751542568207,0.3573864698410034,-0.43698206543922424,0.9958082437515259,0.5672608613967896,0.36824795603752136,-0.2503872513771057,0.9243613481521606,0.45551934838294983,0.3637792468070984,-0.40704989433288574,0.9921773076057434,0.5157439708709717,0.5830285549163818,0.051484495401382446,0.9989192485809326,0.478363573551178,0.5810719728469849,-0.05149947479367256,0.9994031190872192,0.5563242435455322,0.7117502689361572,0.028614070266485214,0.9869592785835266,0.4769674241542816,0.730349063873291,-0.0883566215634346,0.9931055903434753,0.5305739045143127,0.8382702469825745,0.17687612771987915,0.9689763188362122,0.4718833565711975,0.8768796324729919,0.012379411607980728,0.9915233850479126,0.519268274307251,0.8557138442993164,0.18728764355182648,0.9357550740242004,0.4679482579231262,0.8982333540916443,0.016892287880182266,0.9215806722640991,0.5660675764083862,0.8759176731109619,0.12515126168727875,0.9715837836265564,0.48051828145980835,0.9313838481903076,-0.08297550678253174,0.9842556118965149
9,0.5447298884391785,0.32835111021995544,-0.2170032560825348,0.999993085861206,0.545471727848053,0.31265243887901306,-0.202316552400589,0.9999904632568359,0.5460073947906494,0.3124058246612549,-0.2023361176252365,0.9999865293502808,0.5465102195739746,0.31216755509376526,-0.20238634943962097,0.999983549118042,0.5415949821472168,0.31090444326400757,-0.22136494517326355,0.9999947547912598,0.5391248464584351,0.3090481460094452,-0.22140833735466003,0.9999939203262329,0.5362527966499329,0.30701956152915955,-0.2214352786540985,0.9999938011169434,0.5384471416473389,0.31423643231391907,-0.10879216343164444,0.9999823570251465,0.5220935344696045,0.30677592754364014,-0.1964748650789261,0.9999961853027344,0.5424157381057739,0.34244638681411743,-0.1800493746995926,0.9999895095825195,0.5375616550445557,0.3395841717720032,-0.2056264579296112,0.9999972581863403,0.5372042655944824,0.39047038555145264,-0.018495216965675354,0.9996954202651978,0.47947487235069275,0.38290637731552124,-0.1744288206100464,0.9999703168869019,0.5475497245788574,0.4802002012729645,-0.04719094559550285,0.902869462966919,0.44536247849464417,0.4855537712574005,-0.27437925338745117,0.9965853691101074,0.5714747905731201,0.39896321296691895,-0.16636785864830017,0.9717922806739807,0.4548822045326233,0.39527592062950134,-0.40548768639564514,0.9985446929931641,0.5706942081451416,0.37680304050445557,-0.18690426647663116,0.9385513663291931,0.4534509778022766,0.37221744656562805,-0.4366423189640045,0.9965644478797913,0.5692285895347595,0.3701927065849304,-0.18096335232257843,0.932218074798584,0.4548293948173523,0.3667233884334564,-0.43495553731918335,0.9961471557617188,0.5676460862159729,0.37702763080596924,-0.16801391541957855,0.9132360219955444,0.4562602937221527,0.37323981523513794,-0.40709972381591797,0.9927356243133545,0.5139631628990173,0.5905712246894836,0.05716675519943237,0.9988619089126587,0.4770752787590027,0.5884098410606384,-0.05721274018287659,0.9993419051170349,0.5583029389381409,0.7124360203742981,0.03446000814437866,0.9848238229751587,0.47703656554222107,0.7335711121559143,-0.09115561842918396,0.992567777633667,0.5302857756614685,0.8385399580001831,0.175871804356575,0.9677918553352356,0.47243499755859375,0.8793928623199463,0.010125967673957348,0.991519033908844,0.5187750458717346,0.856661319732666,0.18592478334903717,0.9410220980644226,0.46918851137161255,0.9003792405128479,0.015162782743573189,0.932063102722168,0.5672327876091003,0.8740067481994629,0.12833063304424286,0.9713320136070251,0.48115402460098267,0.9304594993591309,-0.08052656054496765,0.9842481017112732
